district,state,scenario
?,Jammu and Kashmir,Senior Citizen Outreach
Akhera,Haryana,Senior Citizen Outreach
Balanagar,Telangana,Senior Citizen Outreach
Balianta,Odisha,Senior Citizen Outreach
Bally Jagachha,West Bengal,Senior Citizen Outreach
Bhadrak(R),Odisha,Senior Citizen Outreach
Bicholim,Goa,Senior Citizen Outreach
Domjur,West Bengal,Senior Citizen Outreach
East midnapore,West Bengal,Senior Citizen Outreach
Kangpokpi,Manipur,Senior Citizen Outreach
Khairthal-Tijara,Rajasthan,Senior Citizen Outreach
Kotputli-Behror,Rajasthan,Senior Citizen Outreach
Madanapalle,Andhra Pradesh,Senior Citizen Outreach
ManendragarhChirmiriBharatpur,Chhattisgarh,Senior Citizen Outreach
Medchalâmalkajgiri,Telangana,Senior Citizen Outreach
Mohali,Chandigarh,Senior Citizen Outreach
Naihati Anandabazar,West Bengal,Senior Citizen Outreach
Near Uday nagar NIT garden,Manipur,Senior Citizen Outreach
Near University Thana,Haryana,Senior Citizen Outreach
Near meera hospital,Manipur,Senior Citizen Outreach
